INT	STRING	INT	INT	INT	INT
333	白莲教	1	1	1	1
334	天主教	1	1	1	1
335	基督教	1	1	1	1
336	东正教	1	1	1	1
337	瘸腿帮	1	1	1	1
338	一贯道	1	1	1	1
339	跳大神	1	1	1	1
340	真理教	1	1	1	1
341	大卫教	1	1	1	1
342	教徒	1	1	1	1
343	经文	1	1	1	1
344	高丽棒子	1	1	1	1
345	蒙古鞑子	1	1	1	1
346	蒙独	1	1	1	1
347	蒙古达子	1	1	1	1
348	蒙古独	1	1	1	1
349	蒙古独立	1	1	1	1
350	南蛮	1	1	1	1
351	回民吃猪肉	1	1	1	1
352	回民暴动	1	1	1	1
353	南蛮子	1	1	1	1
354	伊斯蘭亞格林尼斯	1	1	1	1
355	經文	1	1	1	1
356	蒙獨	1	1	1	1
357	蒙古達子	1	1	1	1
358	回民暴動	1	1	1	1
359	南蠻子	1	1	1	1
360	热比娅	1	1	1	1
361	疆独立	1	1	1	1
362	新疆分裂	1	1	1	1
363	新疆国	1	1	1	1
364	新疆独	1	1	1	1
365	疆独	1	1	1	1
366	基地组织	1	1	1	1
367	塔利班	1	1	1	1
368	恐怖主义	1	1	1	1
369	75事件	1	1	1	1
370	打砸抢烧	1	1	1	1
371	东突暴动	1	1	1	1
372	东突独立	1	1	1	1
373	东土耳其斯坦	1	1	1	1
374	东突厥斯坦伊斯兰运动	1	1	1	1
375	突厥斯坦	1	1	1	1
376	东突	1	1	1	1
377	印尼伊斯兰祈祷团	1	1	1	1
378	中俄边界新约	1	1	1	1
379	熱比婭	1	1	1	1
380	新疆獨	1	1	1	1
381	恐怖主義	1	1	1	1
382	打砸搶燒	1	1	1	1
383	東突暴動	1	1	1	1
384	東突獨立	1	1	1	1
385	東土耳其斯坦	1	1	1	1
386	政治运动	1	1	1	1
387	政治风波	1	1	1	1
388	江青	1	1	1	1
389	张春桥	1	1	1	1
390	姚文元	1	1	1	1
391	王洪文	1	1	1	1
392	苏家屯	1	1	1	1
393	曹长青	1	1	1	1
394	动乱	1	1	1	1
395	反革命	1	1	1	1
396	简鸿章	1	1	1	1
397	上海帮	1	1	1	1
398	四川独	1	1	1	1
399	四川独立	1	1	1	1
400	四人帮	1	1	1	1
401	放荡	1	1	1	1
402	自慰	1	1	1	1
403	作爱	1	1	1	1
404	做爱	1	1	1	1
405	爱滋	1	1	1	1
406	艾滋	1	1	1	1
407	处女膜	1	1	1	1
408	性病	1	1	1	1
409	打飞机	1	1	1	1
410	大鶏巴	1	1	1	1
411	红灯区	1	1	1	1
412	黄片	1	1	1	1
413	金枪不倒	1	1	1	1
414	经血	1	1	1	1
415	茎候佳阴	1	1	1	1
416	军妓	1	1	1	1
417	开苞	1	1	1	1
418	开放杂志	1	1	1	1
419	拉皮条	1	1	1	1
420	乱伦	1	1	1	1
421	乱轮	1	1	1	1
422	卖比	1	1	1	1
423	卖骚	1	1	1	1
424	木子论坛	1	1	1	1
425	奶头	1	1	1	1
426	皮条客	1	1	1	1
427	情妇	1	1	1	1
428	情兽	1	1	1	1
429	让你操	1	1	1	1
430	三级片	1	1	1	1
431	射了还说要	1	1	1	1
432	生孩子没屁眼	1	1	1	1
433	湿了还说不要	1	1	1	1
434	湿了还说要	1	1	1	1
435	私处	1	1	1	1
436	阉狗	1	1	1	1
437	下贱	1	1	1	1
438	下体	1	1	1	1
439	小鶏鶏	1	1	1	1
440	性爱	1	1	1	1
441	性无能	1	1	1	1
442	颜射	1	1	1	1
443	阳具	1	1	1	1
444	阳痿	1	1	1	1
445	阳物	1	1	1	1
446	野鶏	1	1	1	1
447	一陀粪	1	1	1	1
448	瘗	1	1	1	1
449	阴精	1	1	1	1
450	阴毛	1	1	1	1
451	阴囊	1	1	1	1
452	阴水	1	1	1	1
453	淫荡	1	1	1	1
454	淫货	1	1	1	1
455	淫贱	1	1	1	1
456	幼齿	1	1	1	1
457	月经	1	1	1	1
458	杂种	1	1	1	1
459	造爱	1	1	1	1
460	招鶏	1	1	1	1
461	贞操	1	1	1	1
462	放蕩	1	1	1	1
463	作愛	1	1	1	1
464	做愛	1	1	1	1
465	愛滋	1	1	1	1
466	處女膜	1	1	1	1
467	吹簫	1	1	1	1
468	打飛機	1	1	1	1
469	蕩婦	1	1	1	1
470	紅燈區	1	1	1	1
471	黃片	1	1	1	1
472	金槍不倒	1	1	1	1
473	經血	1	1	1	1
474	莖候佳陰	1	1	1	1
475	軍妓	1	1	1	1
476	開苞	1	1	1	1
477	開放雜志	1	1	1	1
478	拉皮條	1	1	1	1
479	亂交	1	1	1	1
480	亂倫	1	1	1	1
481	亂輪	1	1	1	1
482	輪奸	1	1	1	1
483	賣逼	1	1	1	1
484	賣比	1	1	1	1
485	賣騷	1	1	1	1
486	木子論壇	1	1	1	1
487	內褲	1	1	1	1
488	內衣	1	1	1	1
489	奶頭	1	1	1	1
490	皮條客	1	1	1	1
491	潑婦	1	1	1	1
492	禽獸	1	1	1	1
493	情婦	1	1	1	1
494	情獸	1	1	1	1
495	讓你操	1	1	1	1
496	乳頭	1	1	1	1
497	乳暈	1	1	1	1
498	三級片	1	1	1	1
499	射了還說要	1	1	1	1
500	生孩子沒屁眼	1	1	1	1
501	濕了還說不要	1	1	1	1
502	濕了還說要	1	1	1	1
503	私處	1	1	1	1
504	太監	1	1	1	1
505	閹狗	1	1	1	1
506	下賤	1	1	1	1
507	下體	1	1	1	1
508	性愛	1	1	1	1
509	性無能	1	1	1	1
510	顔射	1	1	1	1
511	陽具	1	1	1	1
512	陽痿	1	1	1	1
513	陽物	1	1	1	1
514	一陀糞	1	1	1	1
515	遺精	1	1	1	1
516	瘞	1	1	1	1
517	陰部	1	1	1	1
518	陰唇	1	1	1	1
519	陰道	1	1	1	1
520	陰蒂	1	1	1	1
521	陰戶	1	1	1	1
522	陰莖	1	1	1	1
523	陰精	1	1	1	1
524	陰毛	1	1	1	1
525	陰門	1	1	1	1
526	陰囊	1	1	1	1
527	陰水	1	1	1	1
528	淫蕩	1	1	1	1
529	淫穢	1	1	1	1
530	淫貨	1	1	1	1
531	淫賤	1	1	1	1
532	幼齒	1	1	1	1
533	月經	1	1	1	1
534	雜種	1	1	1	1
535	造愛	1	1	1	1
536	貞操	1	1	1	1
537	一边一国	1	1	1	1
538	江八点	1	1	1	1
539	吕秀莲	1	1	1	1
540	李登辉	1	1	1	1
541	阿扁万岁	1	1	1	1
542	陈炳基	1	1	1	1
543	陈博志	1	1	1	1
544	陈定南	1	1	1	1
545	陈建铭	1	1	1	1
546	陈景俊	1	1	1	1
547	陈菊	1	1	1	1
548	陈军	1	1	1	1
549	陈蒙	1	1	1	1
550	陈破空	1	1	1	1
551	陈水扁	1	1	1	1
552	陈唐山	1	1	1	1
553	陈希同	1	1	1	1
554	陈小同	1	1	1	1
555	陈宣良	1	1	1	1
556	陈学圣	1	1	1	1
557	陈一咨	1	1	1	1
558	陈总统	1	1	1	1
559	独立台湾会	1	1	1	1
560	两岸关系	1	1	1	1
561	两岸三地论坛	1	1	1	1
562	两个中国	1	1	1	1
563	陆委会	1	1	1	1
564	民进党	1	1	1	1
565	双十节	1	1	1	1
566	苏贞昌	1	1	1	1
567	台盟	1	1	1	1
568	台湾帝国	1	1	1	1
569	台湾独立	1	1	1	1
570	台湾独	1	1	1	1
571	台湾狗	1	1	1	1
572	台湾建国运动组织	1	1	1	1
573	台湾民国	1	1	1	1
574	台湾青年独立联盟	1	1	1	1
575	台湾政论区	1	1	1	1
576	台湾自由联盟	1	1	1	1
577	统独	1	1	1	1
578	统独论坛	1	1	1	1
579	统战	1	1	1	1
580	谢长廷	1	1	1	1
581	自民党	1	1	1	1
582	保钓	1	1	1	1
583	北韩	1	1	1	1
584	朝鲜	1	1	1	1
585	大参考	1	1	1	1
586	大东亚	1	1	1	1
587	大东亚共荣	1	1	1	1
588	帝国主义	1	1	1	1
589	钓鱼岛	1	1	1	1
590	东条	1	1	1	1
591	东条英机	1	1	1	1
592	膏药旗	1	1	1	1
593	共荣圈	1	1	1	1
594	韩东方	1	1	1	1
595	韩联潮	1	1	1	1
596	韩正	1	1	1	1
597	汉奸	1	1	1	1
598	皇军	1	1	1	1
599	黄祸	1	1	1	1
600	靖国神社	1	1	1	1
601	亲美	1	1	1	1
602	亲民党	1	1	1	1
603	亲日	1	1	1	1
604	日本帝国	1	1	1	1
605	日军	1	1	1	1
606	萨达姆	1	1	1	1
607	三K党	1	1	1	1
608	山口组	1	1	1	1
609	小泉纯一郎	1	1	1	1
610	系统消息	1	1	1	1
611	系统公告	1	1	1	1
612	管理员	1	1	1	1
613	客户服务	1	1	1	1
614	客服	1	1	1	1
615	发奖	1	1	1	1
616	中奖	1	1	1	1
617	抽奖	1	1	1	1
618	账号	1	1	1	1
619	系統消息	1	1	1	1
620	論壇管理員	1	1	1	1
621	管理員	1	1	1	1
622	中獎	1	1	1	1
623	抽獎	1	1	1	1
624	賬號	1	1	1	1
625	周恩來	1	1	1	1
626	碡 	1	1	1	1
627	籀	1	1	1	1
628	朱熔基	1	1	1	1
629	邾	1	1	1	1
630	猪操	1	1	1	1
631	猪聋畸	1	1	1	1
632	猪毛	1	1	1	1
633	舳	1	1	1	1
634	瘃	1	1	1	1
635	躅	1	1	1	1
636	翥	1	1	1	1
637	專政	1	1	1	1
638	颛	1	1	1	1
639	丬	1	1	1	1
640	隹	1	1	1	1
641	窀	1	1	1	1
642	卓伯源	1	1	1	1
643	倬	1	1	1	1
644	斫	1	1	1	1
645	诼	1	1	1	1
646	髭	1	1	1	1
647	鲻	1	1	1	1
648	子宫	1	1	1	1
649	秭	1	1	1	1
650	訾	1	1	1	1
651	偬	1	1	1	1
652	艹	1	1	1	1
653	陬	1	1	1	1
654	鄹	1	1	1	1
655	鲰	1	1	1	1
656	躜	1	1	1	1
657	缵	1	1	1	1
658	作秀	1	1	1	1
659	阼	1	1	1	1
660	祚	1	1	1	1
661	阿扁萬歲	1	1	1	1
662	阿萊娜	1	1	1	1
663	啊無卵	1	1	1	1
664	垵	1	1	1	1
665	嶴	1	1	1	1
666	奧克拉	1	1	1	1
667	白立樸	1	1	1	1
668	白皮書	1	1	1	1
669	班禪	1	1	1	1
670	保釣	1	1	1	1
671	暴亂	1	1	1	1
672	北大三角地論壇	1	1	1	1
673	北韓	1	1	1	1
674	北京當局	1	1	1	1
675	北美自由論壇	1	1	1	1
676	貝尤爾	1	1	1	1
677	韝	1	1	1	1
678	逼樣	1	1	1	1
679	比樣	1	1	1	1
680	蹕	1	1	1	1
681	颮	1	1	1	1
682	鑣	1	1	1	1
683	婊子養的 	1	1	1	1
684	賓周	1	1	1	1
685	冰後	1	1	1	1
686	博訊	1	1	1	1
687	不爽不要錢	1	1	1	1
688	布萊爾	1	1	1	1
689	布雷爾	1	1	1	1
690	蔡崇國	1	1	1	1
691	蔡啓芳	1	1	1	1
692	黲	1	1	1	1
693	操鶏	1	1	1	1
694	操那嗎B	1	1	1	1
695	操那嗎逼	1	1	1	1
696	操那嗎比	1	1	1	1
697	操你媽	1	1	1	1
698	操你爺爺	1	1	1	1
699	曹長青	1	1	1	1
700	曹剛川	1	1	1	1
701	草你媽	1	1	1	1
702	草擬媽	1	1	1	1
703	册那娘餓比	1	1	1	1
704	插那嗎B	1	1	1	1
705	插那嗎逼	1	1	1	1
706	插那嗎比	1	1	1	1
707	插你媽	1	1	1	1
708	插你爺爺	1	1	1	1
709	覘	1	1	1	1
710	蕆	1	1	1	1
711	囅	1	1	1	1
712	閶	1	1	1	1
713	常勁	1	1	1	1
714	朝鮮	1	1	1	1
715	車侖女幹	1	1	1	1
716	陳炳基	1	1	1	1
717	陳博志	1	1	1	1
718	陳定南	1	1	1	1
719	陳建銘	1	1	1	1
720	陳景俊	1	1	1	1
721	陳菊	1	1	1	1
722	陳軍	1	1	1	1
723	陳良宇	1	1	1	1
724	陳蒙	1	1	1	1
725	陳破空	1	1	1	1
726	陳水扁	1	1	1	1
727	陳唐山	1	1	1	1
728	陳希同	1	1	1	1
729	陳小同	1	1	1	1
730	陳宣良	1	1	1	1
731	陳學聖	1	1	1	1
732	陳一諮	1	1	1	1
733	陳總統	1	1	1	1
734	諶	1	1	1	1
735	齔	1	1	1	1
736	櫬	1	1	1	1
737	讖	1	1	1	1
738	程凱	1	1	1	1
739	程鐵軍	1	1	1	1
740	鴟	1	1	1	1
741	痴鳩	1	1	1	1
742	痴拈	1	1	1	1
743	持不同政見 	1	1	1	1
744	赤色騎士	1	1	1	1
745	赤色戰士	1	1	1	1
746	春夏自由論壇	1	1	1	1
747	戳那嗎B	1	1	1	1
748	戳那嗎逼	1	1	1	1
749	戳那嗎比	1	1	1	1
750	輳	1	1	1	1
751	鹺	1	1	1	1
752	錯B	1	1	1	1
753	錯逼	1	1	1	1
754	錯比	1	1	1	1
755	錯那嗎B	1	1	1	1
756	錯那嗎逼	1	1	1	1
757	錯那嗎比	1	1	1	1
758	大參考	1	1	1	1
759	大東亞	1	1	1	1
760	大東亞共榮	1	1	1	1
761	大紀元	1	1	1	1
762	大紀元新聞網	1	1	1	1
763	大紀園	1	1	1	1
764	大家論壇	1	1	1	1
765	大奶媽	1	1	1	1
766	大史記	1	1	1	1
767	大史紀	1	1	1	1
768	大衛教	1	1	1	1
769	大中國論壇	1	1	1	1
770	大中華論壇	1	1	1	1
771	大衆真人真事	1	1	1	1
772	紿	1	1	1	1
773	戴維教	1	1	1	1
774	戴相龍	1	1	1	1
775	彈劾	1	1	1	1
776	氹	1	1	1	1
777	盜竊犯	1	1	1	1
778	德維爾	1	1	1	1
779	登輝	1	1	1	1
780	鄧笑貧	1	1	1	1
781	糴	1	1	1	1
782	迪裏夏提	1	1	1	1
783	覿	1	1	1	1
784	地下教會	1	1	1	1
785	帝國主義	1	1	1	1
786	電視流氓	1	1	1	1
787	叼你媽	1	1	1	1
788	釣魚島	1	1	1	1
789	丁關根	1	1	1	1
790	東北獨立	1	1	1	1
791	東方紅時空	1	1	1	1
792	東方時空	1	1	1	1
793	東南西北論談	1	1	1	1
794	東社	1	1	1	1
795	東升	1	1	1	1
796	東條	1	1	1	1
797	東條英機	1	1	1	1
798	東西南北論壇	1	1	1	1
799	東亞	1	1	1	1
800	動亂	1	1	1	1
801	獨裁	1	1	1	1
802	獨裁政治	1	1	1	1
803	獨夫	1	1	1	1
804	獨立臺灣會	1	1	1	1
805	鮞	1	1	1	1
806	發楞	1	1	1	1
807	發掄	1	1	1	1
808	發掄功	1	1	1	1
809	發倫	1	1	1	1
810	發倫功	1	1	1	1
811	發輪	1	1	1	1
812	發論	1	1	1	1
813	發論公	1	1	1	1
814	發論功	1	1	1	1
815	發騷	1	1	1	1
816	發正念	1	1	1	1
817	法倫	1	1	1	1
818	法淪	1	1	1	1
819	法綸	1	1	1	1
820	法輪	1	1	1	1
821	法論	1	1	1	1
822	法爾卡	1	1	1	1
823	法掄	1	1	1	1
824	法掄功	1	1	1	1
825	法侖	1	1	1	1
826	法輪大法	1	1	1	1
827	法輪功	1	1	1	1
828	法十輪十功	1	1	1	1
829	法謫	1	1	1	1
830	法謫功	1	1	1	1
831	反封鎖技術	1	1	1	1
832	反腐敗論壇	1	1	1	1
833	反人類	1	1	1	1
834	反社會	1	1	1	1
835	方勵之	1	1	1	1
836	飛揚論壇	1	1	1	1
837	費鴻泰	1	1	1	1
838	費良勇	1	1	1	1
839	粉飾太平	1	1	1	1
840	糞便	1	1	1	1
841	鱝	1	1	1	1
842	風雨神州	1	1	1	1
843	風雨神州論壇	1	1	1	1
844	封從德	1	1	1	1
845	馮東海	1	1	1	1
846	馮素英	1	1	1	1
847	紱	1	1	1	1
848	襆	1	1	1	1
849	嘸 	1	1	1	1
850	傅作義	1	1	1	1
851	幹bi	1	1	1	1
852	幹逼	1	1	1	1
853	幹比	1	1	1	1
854	幹的你	1	1	1	1
855	幹幹幹	1	1	1	1
856	幹她	1	1	1	1
857	幹你	1	1	1	1
858	幹你老比	1	1	1	1
859	幹你老母	1	1	1	1
860	幹你娘	1	1	1	1
861	幹全家	1	1	1	1
862	幹死	1	1	1	1
863	幹死你	1	1	1	1
864	幹他	1	1	1	1
865	幹一家	1	1	1	1
866	趕你娘	1	1	1	1
867	岡巒	1	1	1	1
868	剛比	1	1	1	1
869	剛比樣子	1	1	1	1
870	肛門	1	1	1	1
871	高麗棒子	1	1	1	1
872	高文謙	1	1	1	1
873	高薪養廉	1	1	1	1
874	高自聯	1	1	1	1
875	膏藥旗	1	1	1	1
876	鴿派	1	1	1	1
877	歌功頌德	1	1	1	1
878	鯁	1	1	1	1
879	工自聯	1	1	1	1
880	弓雖	1	1	1	1
881	共産	1	1	1	1
882	共産黨	1	1	1	1
883	共産主義	1	1	1	1
884	共黨	1	1	1	1
885	共軍	1	1	1	1
886	共榮圈	1	1	1	1
887	緱	1	1	1	1
888	狗誠	1	1	1	1
889	狗狼養的	1	1	1	1
890	狗娘養的	1	1	1	1
891	狗養	1	1	1	1
892	狗雜種	1	1	1	1
893	覯	1	1	1	1
894	轂	1	1	1	1
895	鯝	1	1	1	1
896	鴰	1	1	1	1
897	詿	1	1	1	1
898	關卓中	1	1	1	1
899	貫通兩極法	1	1	1	1
900	廣聞	1	1	1	1
901	嬀	1	1	1	1
902	龜兒子	1	1	1	1
903	龜公	1	1	1	1
904	龜孫子	1	1	1	1
905	龜頭	1	1	1	1
906	龜投	1	1	1	1
907	劌	1	1	1	1
908	緄	1	1	1	1
909	滾那嗎	1	1	1	1
910	滾那嗎B	1	1	1	1
911	滾那嗎錯比	1	1	1	1
